,Company,Year,Rate,Word,Pair,Tri
0,betfair,2017,1,"{'app': 20, 'cash': 9, 'still': 8, 'ca': 7, 'bad': 6, 'money': 6, 'wo': 5, 'games': 5, 'deposit': 5, 'use': 5, 'suspended': 5, 'bet': 4, 'let': 4, 'account': 4, 'time': 4, 'one': 4, 'betting': 4, 'play': 4, 'take': 3, 'going': 3, 'withdraw': 3, 'photo': 3, 'using': 3, 'bets': 3, 'verify': 3, 'service': 3, 'poo': 3, 'funds': 3, 'get': 3, 'work': 3}","{('wo', 'let'): 4, ('deposit', 'money'): 3, ('really', 'bad'): 2, ('bad', 'app'): 2, ('bet', 'one'): 2, ('let', 'withdraw'): 2, ('ca', 'deposit'): 2, ('poo', 'poo'): 2, ('shockingly', 'bad'): 2, ('accept', 'button'): 2, ('customer', 'service'): 2, ('phones', 'gallery'): 1, ('refuses', 'take'): 1, ('licence', 'app'): 1, ('rubbish', 'cash'): 1, ('later', 'rubbish'): 1, ('weeks', 'later'): 1, ('app', 'refuses'): 1, ('verified', 'weeks'): 1, ('still', 'verified'): 1, ('page', 'still'): 1, ('take', 'wo'): 1, ('access', 'phones'): 1, ('web', 'page'): 1, ('done', 'web'): 1, ('id', 'done'): 1, ('upload', 'id'): 1, ('cash', 'still'): 1, ('let', 'upload'): 1, ('wo', 'access'): 1}","{('wo', 'let', 'withdraw'): 2, ('cash', 'suspension', 'whole'): 1, ('gallery', 'wo', 'let'): 1, ('later', 'rubbish', 'cash'): 1, ('weeks', 'later', 'rubbish'): 1, ('verified', 'weeks', 'later'): 1, ('still', 'verified', 'weeks'): 1, ('page', 'still', 'verified'): 1, ('web', 'page', 'still'): 1, ('done', 'web', 'page'): 1, ('id', 'done', 'web'): 1, ('upload', 'id', 'done'): 1, ('let', 'upload', 'id'): 1, ('wo', 'let', 'upload'): 1, ('phones', 'gallery', 'wo'): 1, ('cash', 'still', 'joke'): 1, ('access', 'phones', 'gallery'): 1, ('wo', 'access', 'phones'): 1, ('take', 'wo', 'access'): 1, ('refuses', 'take', 'wo'): 1, ('app', 'refuses', 'take'): 1, ('licence', 'app', 'refuses'): 1, ('driving', 'licence', 'app'): 1, ('passport', 'driving', 'licence'): 1, ('photo', 'passport', 'driving'): 1, ('verify', 'photo', 'passport'): 1, ('unless', 'verify', 'photo'): 1, ('funds', 'unless', 'verify'): 1, ('rubbish', 'cash', 'still'): 1, ('still', 'joke', 'bets'): 1}"
0,betfair,2017,2,"{'working': 2, 'use': 2, 'used': 1, 'downloaded': 1, 'slower': 1, 'laggy': 1, 'slow': 1, 'annoying': 1, 'stopping': 1, 'keeps': 1, 'work': 1, 'wont': 1, 'like': 1, 'k': 1, 'stopped': 1, 'still': 1, 'terrible': 1, 'pretty': 1, 'account': 1, 'credit': 1, 'fix': 1, 'please': 1, 'website': 1}","{('used', 'stopped'): 1, ('stopped', 'working'): 1, ('laggy', 'slower'): 1, ('slow', 'laggy'): 1, ('annoying', 'slow'): 1, ('working', 'annoying'): 1, ('stopping', 'working'): 1, ('keeps', 'stopping'): 1, ('work', 'keeps'): 1, ('wont', 'work'): 1, ('downloaded', 'wont'): 1, ('k', 'downloaded'): 1, ('like', 'k'): 1, ('use', 'like'): 1, ('still', 'use'): 1, ('terrible', 'still'): 1, ('pretty', 'terrible'): 1, ('account', 'pretty'): 1, ('credit', 'account'): 1, ('use', 'credit'): 1, ('fix', 'use'): 1, ('please', 'fix'): 1, ('working', 'please'): 1, ('slower', 'website'): 1}","{('used', 'stopped', 'working'): 1, ('like', 'k', 'downloaded'): 1, ('slow', 'laggy', 'slower'): 1, ('annoying', 'slow', 'laggy'): 1, ('working', 'annoying', 'slow'): 1, ('stopping', 'working', 'annoying'): 1, ('keeps', 'stopping', 'working'): 1, ('work', 'keeps', 'stopping'): 1, ('wont', 'work', 'keeps'): 1, ('downloaded', 'wont', 'work'): 1, ('k', 'downloaded', 'wont'): 1, ('use', 'like', 'k'): 1, ('stopped', 'working', 'please'): 1, ('still', 'use', 'like'): 1, ('terrible', 'still', 'use'): 1, ('pretty', 'terrible', 'still'): 1, ('account', 'pretty', 'terrible'): 1, ('credit', 'account', 'pretty'): 1, ('use', 'credit', 'account'): 1, ('fix', 'use', 'credit'): 1, ('please', 'fix', 'use'): 1, ('working', 'please', 'fix'): 1, ('laggy', 'slower', 'website'): 1}"
0,betfair,2017,3,"{'cash': 2, 'page': 2, 'bets': 2, 'also': 2, 'pretty': 1, 'save': 1, 'obvious': 1, 'place': 1, 'offer': 1, 'show': 1, 'unable': 1, 'register': 1, 'card': 1, 'details': 1, 'access': 1, 'seems': 1, 'ok': 1, 'otherwise': 1, 'needs': 1, 'option': 1, 'taking': 1, 'team': 1, 'coupon': 1, 'app': 1, 'loads': 1, 'games': 1, 'match': 1, 'pages': 1, 'find': 1, 'like': 1}","{('pretty', 'good'): 1, ('access', 'games'): 1, ('cash', 'page'): 1, ('page', 'obvious'): 1, ('obvious', 'place'): 1, ('place', 'also'): 1, ('also', 'bets'): 1, ('bets', 'offer'): 1, ('offer', 'cash'): 1, ('cash', 'show'): 1, ('show', 'unable'): 1, ('unable', 'register'): 1, ('register', 'card'): 1, ('card', 'save'): 1, ('save', 'details'): 1, ('details', 'seems'): 1, ('seems', 'ok'): 1, ('ok', 'otherwise'): 1, ('otherwise', 'needs'): 1, ('needs', 'option'): 1, ('option', 'taking'): 1, ('taking', 'team'): 1, ('team', 'coupon'): 1, ('coupon', 'app'): 1, ('app', 'loads'): 1, ('games', 'cash'): 1, ('pages', 'access'): 1, ('good', 'like'): 1, ('match', 'pages'): 1, ('like', 'notifications'): 1}","{('pretty', 'good', 'like'): 1, ('good', 'like', 'notifications'): 1, ('games', 'cash', 'page'): 1, ('cash', 'page', 'obvious'): 1, ('page', 'obvious', 'place'): 1, ('obvious', 'place', 'also'): 1, ('place', 'also', 'bets'): 1, ('also', 'bets', 'offer'): 1, ('bets', 'offer', 'cash'): 1, ('offer', 'cash', 'show'): 1, ('cash', 'show', 'unable'): 1, ('show', 'unable', 'register'): 1, ('unable', 'register', 'card'): 1, ('register', 'card', 'save'): 1, ('card', 'save', 'details'): 1, ('save', 'details', 'seems'): 1, ('details', 'seems', 'ok'): 1, ('seems', 'ok', 'otherwise'): 1, ('ok', 'otherwise', 'needs'): 1, ('otherwise', 'needs', 'option'): 1, ('needs', 'option', 'taking'): 1, ('option', 'taking', 'team'): 1, ('taking', 'team', 'coupon'): 1, ('team', 'coupon', 'app'): 1, ('coupon', 'app', 'loads'): 1, ('access', 'games', 'cash'): 1, ('pages', 'access', 'games'): 1, ('match', 'pages', 'access'): 1, ('find', 'fixtures', 'bet'): 1, ('like', 'notifications', 'feature'): 1}"
0,betfair,2017,4,"{'good': 10, 'app': 9, 'could': 3, 'better': 3, 'login': 2, 'use': 2, 'getting': 2, 'betting': 2, 'would': 2, 'notifications': 2, 'cash': 2, 'running': 2, 'layout': 2, 'fingerprint': 2, 'decimals': 2, 'odds': 2, 'like': 2, 'fractions': 2, 'working': 2, 'think': 1, 'horses': 1, 'gives': 1, 'red': 1, 'details': 1, 'make': 1, 'football': 1, 'things': 1, 'teams': 1, 'betted': 1, 'scored': 1}","{('good', 'app'): 4, ('app', 'good'): 3, ('could', 'better'): 2, ('betting', 'app'): 2, ('fingerprint', 'login'): 2, ('like', 'fingerprint'): 1, ('teams', 'betted'): 1, ('football', 'teams'): 1, ('notifications', 'football'): 1, ('gives', 'notifications'): 1, ('app', 'gives'): 1, ('think', 'good'): 1, ('quicker', 'think'): 1, ('things', 'quicker'): 1, ('make', 'things'): 1, ('login', 'make'): 1, ('would', 'like'): 1, ('scored', 'received'): 1, ('horses', 'would'): 1, ('details', 'horses'): 1, ('good', 'details'): 1, ('great', 'app'): 1, ('good', 'great'): 1, ('greater', 'good'): 1, ('could', 'greater'): 1, ('variety', 'could'): 1, ('settlements', 'variety'): 1, ('quick', 'settlements'): 1, ('game', 'quick'): 1, ('pp', 'game'): 1}","{('betting', 'app', 'good'): 2, ('could', 'better', 'settled'): 1, ('horses', 'would', 'like'): 1, ('football', 'teams', 'betted'): 1, ('notifications', 'football', 'teams'): 1, ('gives', 'notifications', 'football'): 1, ('app', 'gives', 'notifications'): 1, ('good', 'app', 'gives'): 1, ('think', 'good', 'app'): 1, ('quicker', 'think', 'good'): 1, ('things', 'quicker', 'think'): 1, ('make', 'things', 'quicker'): 1, ('login', 'make', 'things'): 1, ('fingerprint', 'login', 'make'): 1, ('like', 'fingerprint', 'login'): 1, ('would', 'like', 'fingerprint'): 1, ('details', 'horses', 'would'): 1, ('betted', 'scored', 'received'): 1, ('good', 'details', 'horses'): 1, ('app', 'good', 'details'): 1, ('great', 'app', 'good'): 1, ('good', 'great', 'app'): 1, ('greater', 'good', 'great'): 1, ('could', 'greater', 'good'): 1, ('variety', 'could', 'greater'): 1, ('settlements', 'variety', 'could'): 1, ('quick', 'settlements', 'variety'): 1, ('game', 'quick', 'settlements'): 1, ('pp', 'game', 'quick'): 1, ('like', 'pp', 'game'): 1}"
0,betfair,2017,5,"{'app': 26, 'great': 15, 'use': 13, 'good': 12, 'easy': 10, 'love': 8, 'betting': 5, 'like': 4, 'better': 4, 'issues': 3, 'best': 3, 'far': 3, 'going': 2, 'football': 2, 'one': 2, 'think': 2, 'betfair': 2, 'well': 2, 'much': 2, 'alot': 2, 'previous': 2, 'since': 2, 'sites': 2, 'end': 2, 'win': 2, 'work': 2, 'lot': 2, 'site': 2, 'excellent': 2, 'top': 2}","{('great', 'app'): 9, ('easy', 'use'): 9, ('betting', 'app'): 3, ('app', 'great'): 3, ('app', 'easy'): 3, ('good', 'app'): 3, ('app', 'love'): 2, ('app', 'far'): 2, ('app', 'good'): 2, ('love', 'app'): 2, ('score', 'notifications'): 1, ('sites', 'score'): 1, ('would', 'like'): 1, ('good', 'work'): 1, ('work', 'great'): 1, ('concise', 'would'): 1, ('love', 'acca'): 1, ('acca', 'edge'): 1, ('edge', 'feature'): 1, ('feature', 'still'): 1, ('still', 'win'): 1, ('clear', 'concise'): 1, ('win', 'something'): 1, ('something', 'one'): 1, ('use', 'clear'): 1, ('one', 'leg'): 1, ('leg', 'loses'): 1, ('way', 'easy'): 1, ('keep', 'good'): 1, ('like', 'way'): 1}","{('app', 'easy', 'use'): 3, ('app', 'great', 'app'): 3, ('great', 'app', 'easy'): 2, ('great', 'app', 'far'): 2, ('good', 'gid', 'brilliant'): 1, ('sites', 'score', 'notifications'): 1, ('gambling', 'sites', 'score'): 1, ('better', 'gambling', 'sites'): 1, ('app', 'better', 'gambling'): 1, ('good', 'app', 'better'): 1, ('loses', 'good', 'app'): 1, ('notifications', 'handy', 'like'): 1, ('leg', 'loses', 'good'): 1, ('one', 'leg', 'loses'): 1, ('something', 'one', 'leg'): 1, ('win', 'something', 'one'): 1, ('still', 'win', 'something'): 1, ('score', 'notifications', 'handy'): 1, ('like', 'way', 'easy'): 1, ('handy', 'like', 'way'): 1, ('edge', 'feature', 'still'): 1, ('way', 'easy', 'use'): 1, ('easy', 'use', 'clear'): 1, ('use', 'clear', 'concise'): 1, ('clear', 'concise', 'would'): 1, ('concise', 'would', 'like'): 1, ('would', 'like', 'scored'): 1, ('like', 'scored', 'play'): 1, ('scored', 'play', 'bets'): 1, ('play', 'bets', 'much'): 1}"
0,betfair,2018,1,"{'app': 40, 'bet': 31, 'money': 16, 'account': 16, 'wo': 14, 'still': 12, 'even': 12, 'ca': 12, 'betfair': 12, 'open': 11, 'time': 10, 'cash': 10, 'use': 9, 'get': 9, 'want': 8, 'bets': 8, 'work': 8, 'never': 8, 'times': 8, 'update': 8, 'back': 7, 'try': 7, 'nothing': 7, 'working': 7, 'load': 7, 'customer': 7, 'go': 6, 'please': 6, 'screen': 6, 'phone': 6}","{('customer', 'service'): 5, ('betting', 'app'): 4, ('money', 'account'): 4, ('free', 'bet'): 4, ('app', 'wo'): 3, ('load', 'android'): 3, ('wo', 'load'): 3, ('app', 'ever'): 3, ('wo', 'let'): 3, ('wo', 'open'): 3, ('worst', 'betting'): 3, ('go', 'back'): 3, ('ca', 'open'): 3, ('open', 'app'): 3, ('take', 'money'): 2, ('account', 'even'): 2, ('load', 'past'): 2, ('bet', 'fair'): 2, ('wont', 'open'): 2, ('ca', 'get'): 2, ('lost', 'bet'): 2, ('working', 'fine'): 2, ('app', 'used'): 2, ('many', 'times'): 2, ('terrible', 'app'): 2, ('account', 'suspended'): 2, ('use', 'cash'): 2, ('much', 'better'): 2, ('betfair', 'reset'): 2, ('ca', 'log'): 2}","{('worst', 'betting', 'app'): 3, ('get', 'money', 'back'): 2, ('please', 'try', 'later'): 2, ('wrong', 'please', 'try'): 2, ('go', 'back', 'pick'): 2, ('since', 'latest', 'update'): 2, ('went', 'wrong', 'please'): 2, ('something', 'went', 'wrong'): 2, ('back', 'pick', 'another'): 2, ('ca', 'open', 'app'): 2, ('wo', 'load', 'past'): 2, ('account', 'get', 'change'): 1, ('get', 'change', 'another'): 1, ('change', 'another', 'company'): 1, ('money', 'account', 'get'): 1, ('another', 'company', 'terrible'): 1, ('take', 'money', 'account'): 1, ('still', 'cant', 'make'): 1, ('log', 'take', 'money'): 1, ('terrible', 'would', 'rate'): 1, ('ca', 'log', 'take'): 1, ('better', 'ca', 'log'): 1, ('much', 'better', 'ca'): 1, ('website', 'much', 'better'): 1, ('time', 'website', 'much'): 1, ('company', 'terrible', 'would'): 1, ('good', 'bet', 'going'): 1, ('would', 'rate', 'stars'): 1, ('rate', 'stars', 'possible'): 1, ('stars', 'possible', 'good'): 1}"
0,betfair,2018,2,"{'app': 17, 'bet': 14, 'cash': 9, 'money': 8, 'time': 8, 'bets': 7, 'back': 6, 'wo': 6, 'team': 6, 'keeps': 5, 'go': 5, 'load': 4, 'think': 4, 'game': 4, 'score': 4, 'issue': 4, 'even': 4, 'see': 4, 'problem': 4, 'like': 4, 'every': 4, 'use': 3, 'account': 3, 'getting': 3, 'notifications': 3, 'works': 3, 'screen': 3, 'place': 3, 'poor': 3, 'live': 3}","{('bet', 'team'): 3, ('every', 'time'): 3, ('always', 'bet'): 2, ('wo', 'let'): 2, ('wo', 'open'): 2, ('game', 'issue'): 2, ('live', 'feed'): 2, ('something', 'like'): 2, ('place', 'bets'): 2, ('keeps', 'logging'): 2, ('go', 'back'): 2, ('bank', 'account'): 2, ('exchange', 'app'): 2, ('time', 'try'): 2, ('logging', 'every'): 1, ('fine', 'keeps'): 1, ('longer', 'sends'): 1, ('time', 'change'): 1, ('change', 'screens'): 1, ('screens', 'wo'): 1, ('app', 'fine'): 1, ('unusable', 'last'): 1, ('week', 'app'): 1, ('last', 'week'): 1, ('use', 'cash'): 1, ('app', 'unusable'): 1, ('score', 'app'): 1, ('low', 'score'): 1, ('give', 'low'): 1, ('freezes', 'give'): 1}","{('every', 'time', 'try'): 2, ('longer', 'sends', 'notifications'): 1, ('fine', 'keeps', 'logging'): 1, ('morning', 'already', 'cosy'): 1, ('since', 'morning', 'already'): 1, ('feature', 'since', 'morning'): 1, ('cash', 'feature', 'since'): 1, ('use', 'cash', 'feature'): 1, ('let', 'use', 'cash'): 1, ('wo', 'let', 'use'): 1, ('screens', 'wo', 'let'): 1, ('change', 'screens', 'wo'): 1, ('time', 'change', 'screens'): 1, ('every', 'time', 'change'): 1, ('logging', 'every', 'time'): 1, ('keeps', 'logging', 'every'): 1, ('app', 'fine', 'keeps'): 1, ('cosy', 'money', 'every'): 1, ('week', 'app', 'fine'): 1, ('last', 'week', 'app'): 1, ('unusable', 'last', 'week'): 1, ('app', 'unusable', 'last'): 1, ('score', 'app', 'unusable'): 1, ('low', 'score', 'app'): 1, ('give', 'low', 'score'): 1, ('freezes', 'give', 'low'): 1, ('still', 'freezes', 'give'): 1, ('reinstalled', 'still', 'freezes'): 1, ('screen', 'reinstalled', 'still'): 1, ('startup', 'screen', 'reinstalled'): 1}"
0,betfair,2018,3,"{'bet': 6, 'app': 4, 'wo': 3, 'tell': 3, 'money': 3, 'betting': 3, 'open': 3, 'work': 3, 'back': 3, 'get': 3, 'also': 2, 'really': 2, 'takes': 2, 'top': 2, 'win': 2, 'sites': 2, 'frustrating': 2, 'often': 2, 'still': 2, 'placed': 2, 'play': 2, 'problem': 2, 'game': 2, 'please': 2, 'waiting': 2, 'good': 2, 'working': 2, 'notifications': 2, 'hours': 2, 'come': 2}","{('play', 'bet'): 2, ('still', 'waiting'): 2, ('wo', 'open'): 2, ('app', 'wo'): 2, ('push', 'notifications'): 1, ('golf', 'example'): 1, ('example', 'get'): 1, ('get', 'free'): 1, ('free', 'bet'): 1, ('bet', 'whatever'): 1, ('whatever', 'promised'): 1, ('promised', 'surprised'): 1, ('surprised', 'push'): 1, ('good', 'app'): 1, ('less', 'places'): 1, ('notifications', 'dont'): 1, ('dont', 'seem'): 1, ('seem', 'work'): 1, ('work', 'plus'): 1, ('plus', 'brilliant'): 1, ('brilliant', 'app'): 1, ('app', 'open'): 1, ('open', 'fixed'): 1, ('fixed', 'tried'): 1, ('tried', 'uninstalling'): 1, ('uninstalling', 'reinstalling'): 1, ('places', 'golf'): 1, ('good', 'sites'): 1, ('sites', 'less'): 1, ('work', 'please'): 1}","{('app', 'wo', 'open'): 2, ('good', 'app', 'get'): 1, ('sites', 'less', 'places'): 1, ('places', 'golf', 'example'): 1, ('golf', 'example', 'get'): 1, ('example', 'get', 'free'): 1, ('get', 'free', 'bet'): 1, ('free', 'bet', 'whatever'): 1, ('bet', 'whatever', 'promised'): 1, ('whatever', 'promised', 'surprised'): 1, ('promised', 'surprised', 'push'): 1, ('surprised', 'push', 'notifications'): 1, ('push', 'notifications', 'dont'): 1, ('notifications', 'dont', 'seem'): 1, ('dont', 'seem', 'work'): 1, ('seem', 'work', 'plus'): 1, ('work', 'plus', 'brilliant'): 1, ('plus', 'brilliant', 'app'): 1, ('brilliant', 'app', 'open'): 1, ('app', 'open', 'fixed'): 1, ('open', 'fixed', 'tried'): 1, ('fixed', 'tried', 'uninstalling'): 1, ('tried', 'uninstalling', 'reinstalling'): 1, ('uninstalling', 'reinstalling', 'work'): 1, ('reinstalling', 'work', 'please'): 1, ('less', 'places', 'golf'): 1, ('good', 'sites', 'less'): 1, ('please', 'fix', 'often'): 1, ('working', 'days', 'yo'): 1, ('bet', 'totalled', 'personal'): 1}"
