Link,Name,Languages,Number of Languages,Licenсes,Community/Blog,Mobile app,Cryptocurrency,Traffic 04.2022,Classic,Lottery,Live,Betting,"Bonus, $","Bonus, Spins","Bonus, %"
http://310win.com/,310win,ZH,1,Ministry of Finance of the People's Republic of China,?,?,?,1 310 000,?,X,?,X,?,?,?
http://boylesports.com/,BoyleSports,EN,1,"UK Gambling Commission, Gibraltar Gambling Commissioner",?,X,?,3 530 000,X,X,X,X,?,?,?
http://gooooal.com/,gooooal,ZH,1,?,http://news.gooooal.com/100451/100451141.html,X,?,1 300 000,?,?,?,X,?,?,?
https://10cric.com/,10CRIC,EN,1,Curacao eGaming,https://world.10cric.com/,X,X,460 700,X,X,X,X,?,?,?
https://188bet.com/,188BET,"EN, ZH",2,Isle of Man Gambling Supervision Commission,?,?,?,580 162,X,X,X,X,?,?,?
https://1bet.com/,1Bet,EN,1,Antillephone N.V.,?,?,?,1 500 000,X,?,X,X,500 €,?,100
https://1xbet.com/,1XBET,X,69,Curacao eGaming,?,X,X,3 750 000,X,X,X,X,1500 €,?,100
https://1xbit.com/,1xBit,X,64,Curacao (without details),https://1xbit.com/en/blog/,X,X,832 946,X,X,X,X,7 BTC,?,?
https://1xstavka.ru/,1xStavka,X,12,Federal Tax Service of Russia,?,X,?,1 600 000,?,?,?,X,?,?,?
https://21casino.com/,21 Casino,X,6,Malta Gaming Authority,?,X,?,376 200,X,X,X,?,300 €,?,121
https://22bets.me/,22BET,X,56,"Antillephone N.V., Kahnawake Gaming Commission",?,X,?,3 760 000,X,X,X,X,25000 ₽,?,?
https://32red.com/,32Red,"EN, JA",2,UK Gambling Commission,https://32red.com/blog//,X,?,1 837 000,X,?,X,?,150 £,?,150
https://500.com/,500.com,ZH,1,Ministry of Finance of the People's Republic of China,?,X,?,12 800 000,?,X,?,X,?,?,?
https://5gringos.com/,5Gringos Casino,X,13,Antillephone N.V.,?,?,?,687 600,X,X,X,?,?,100,100
https://777.com/,777 Casino,EN,1,"Malta Gaming Authority, Gibraltar Gambling Commissioner, UK Gambling Commission, Irish Revenue Commissioners",?,?,?,487 995,X,X,X,X,?,?,100
https://7bitcasino.com/,7Bit Casino,X,10,Antillephone N.V.,?,?,X,801 250,X,?,X,?,?,100,100
https://888.com/,888.com,X,6,"Malta Gaming Authority, UK Gambling Commission",https://888.com/blog/,X,?,831 345,X,X,X,X,108 $,?,100
https://ababet.ug/,Aba bet,EN,1,National Gaming Board of Uganda,?,?,?,454 200,?,?,?,X,?,?,?
https://admiralcasino.co.uk/,Admiral Casino,EN,1,UK Gambling Commission,?,X,?,621 561,X,?,X,?,200 £,40,100
https://aicai.com/,Aicai,EN,1,Western Cape Gambling Board,?,?,?,1 002 000,X,X,X,X,?,?,?
https://aktion-mensch.de/,Aktion Mensch,DE,1,Germany (without details),?,X,?,603 305,?,X,?,?,?,?,?
https://allrightcasino.com/,All Right Casino,X,10,Curacao Interactive Licensing N.V.,?,X,?,448 264,X,X,X,X,?,30,27
https://allslotscasino.com/,All Slots Casino,"EN, FR, DE, SV",4,Malta Gaming Authority,?,X,?,385 340,X,?,X,?,1500 €,?,?
https://americascardroom.eu/,Americas Cardroom,X,6,?,https://americascardroom.eu/poker-blog/,X,X,13 150 000,X,?,X,X,2000 $,?,100
https://aposta.la/,Aposta.La,ES,1,The National Commission of Games of Chance in Paraguay,?,?,?,1 500 000,X,X,?,X,?,?,?
https://apostas.placard.pt/,Placard,PT,1,SRIJ,?,X,?,358 926,X,?,?,X,?,?,?
https://atg.se/,ATG,SV,1,Swedish Gambling Authority,https://atg.se/nyheter,?,?,10 720 000,X,X,X,X,?,?,?
https://bbet.eu/,BBet,IT,1,ADM Italy,https://bgame.news,?,?,583 094,X,X,X,X,100 €,20,?
https://bc.game/,BC.game,X,18,Curacao Interactive Licensing N.V.,https://forum.bc.game/,X,X,9 150 000,X,X,X,X,?,?,?
https://bet-at-home.com/,Bet-at-home,X,9,Malta Gaming Authority,?,?,?,10 800 000,?,?,?,X,50 €,?,?
https://bet.co.za/,Betcoza Online,EN,1,Western Cape Gambling Board,?,?,?,332 308,X,X,?,X,?,?,50
https://bet365.com/,Bet365,X,20,Malta Gaming Authority,https://extra.bet365.com/news/en,X,?,292 000 000,X,X,X,X,100 €,?,?
https://bet88jp.com/,LIVE CASINO HOUSE,"EN, JA, TH, VI",4,Gaming Curacao,?,X,?,2 200 000,X,X,X,?,?,?,200
https://bet9ja.com/,Bet9ja,EN,1,"Lagos State Lotteries Board, State of Osun (without details)",?,X,?,83 000 000,X,X,X,X,?,?,150
https://betaland.it/,Betaland,IT,1,ADM Italy,https://betalandtheclover.it,?,?,7 472 000,X,X,X,X,?,?,100
https://betano.com/,Betano,X,9,"Ministry of Finance of the Czech Republic, Austrian Ministry of Finance, Romanian National Gambling Office, SRIJ",?,X,?,21 820 000,X,?,?,X,120 €,?,?
https://betanysports.eu,Betanysports,EN,1,?,?,?,X,383 287,X,X,X,X,?,?,?
https://betbull.com/,BetBull,EN,1,UK Gambling Commission,?,?,?,893 500,X,X,X,X,?,?,?
https://betcityru.com/,BETCITY,"EN, RU, MK",3,Curacao eGaming,?,X,?,437 513,?,?,?,X,30 $,?,?
https://betcoin.ag/,Betcoin,X,15,Gaming Curacao,?,?,X,328 850,X,?,X,X,1 BTC,10,100
https://betcris.com/,Betcris,ES,1,Malta Gaming Authority,https://betcris.com/articulos/,X,?,2 774 000,X,?,?,X,?,?,210
https://betdaq.com/,BETDAQ,EN,1,"UK Gambling Commission, Alderney Gambling Control Commission, Irish Revenue Commissioners",?,X,?,532 521,X,?,X,X,10 €,?,?
https://betdeal.com/,Betdeal,"PL, EN",2,"Curacao eGaming, Philippine Amusement and Gaming Corporation",?,?,?,465 609,X,X,X,X,?,?,100
https://betfair.com/,Betfair,X,8,"Malta Gaming Authority, UK Gambling Commission",?,X,?,17 310 000,X,X,X,X,?,?,100
https://betfirst.dhnet.be/,betFIRST,"EN, FR, NL, TR",4,Belgian Gaming Commission,?,X,?,305 963,X,?,?,X,?,?,?
https://betflag.it/,BetFlag,IT,1,ADM Italy,?,X,?,2 888 000,X,X,X,X,2000 €,?,?
https://betfred.com/,Betfred,EN,1,"UK Gambling Commission, Gibraltar Gambling Commissioner",https://blog.betfred.com/,X,?,4 850 000,X,X,X,X,30 £,50,?
https://betgames.tv/,Betgames.tv,"EN, RU",2,Malta Gaming Authority,https://www.betgames.tv/ru/blog,?,?,438 385,?,X,X,?,?,?,?
https://betika.com/,Betika,EN,1,Betting Control and Licensing Board of Kenya,?,X,?,19 210 000,X,?,X,X,?,?,?
https://betking.com/,BetKing,EN,1,"Lagos State Lotteries Board, Anambra State Gaming Company, Nigerian National Lottery Regulatory Commission, State of Osun (without details)",?,X,?,38 590 000,?,?,?,X,?,?,?
https://betlive.com/,Betlive,"EN, RU, KA",3,Ministry of Finance of Georgia,?,?,?,920 610,X,X,X,X,?,500,?
https://betnow.eu/,BetNow,X,11,Gaming Curacao,https://betnow.eu/blog/,?,?,575 433,X,X,X,X,?,?,50
https://betobet.com/,bet O bet,X,7,Curacao Interactive Licensing N.V.,?,X,?,594 041,X,X,X,X,100 $,?,100
https://betonline.ag/,BetOnline,EN,1,JCJ Panama,https://betonline.ag/news-room/,X,X,1 669 000,X,X,X,X,1000 $,?,50
https://betpawa.com/,betPawa,"EN, SW, FR",3,"National Gaming Board of Uganda, Gaming Commission of Ghana, Gaming Board of Tanzania, Betting Control and Licensing Board of Kenya",?,X,?,9 000 000,X,?,?,X,?,?,?
https://betplay.com.co/,Betplay,ES,1,Colombia Gambling Authority,https://betplay.com.co/blog/,X,?,44 700 000,X,X,X,X,?,?,?
https://betpoint.it/,Betpoint,IT,1,ADM Italy,?,X,?,3 891 000,X,X,X,X,1000 €,?,100
https://betsafe.com/,Betsafe,LV,1,"Malta Gaming Authority, Swedish Gambling Authority",?,X,?,4 793 000,X,?,X,X,200 €,200,?
https://betshop.com/,Betshop,X,10,Curacao (without details),?,?,?,861 001,X,X,X,X,?,?,?
https://betsson.com/,Betsson,X,11,Malta Gaming Authority,https://content.betsson.com/en/,X,?,10 800 000,X,?,X,X,1000 €,200,100
https://bettilt.com/,Bettilt,X,7,Antillephone N.V.,?,X,X,605 064,X,X,X,X,?,?,120
https://betus.com.pa/,BetUS,EN,1,Gaming Curacao,?,?,X,8 552 000,X,X,X,X,?,?,125
https://betvictor.com/,BetVictor,EN,1,"UK Gambling Commission, Gibraltar Gambling Commissioner, Irish Revenue Commissioners",?,X,?,5 252 000,X,X,X,X,30 £,?,?
https://betway.com/,Betway,X,10,"Malta Gaming Authority, UK Gambling Commission",https://betway.com/wapi/HostApi/about/blank,X,?,27 100 000,X,X,X,X,?,?,?
https://bildbet.de/,BildBet,"EN,DE",2,Malta Gaming Authority,?,X,?,327 800,?,?,?,X,?,?,?
https://bilyoner.com/,Bilyoner,TR,1,Turkey (without details),?,X,?,4 770 000,?,?,?,X,?,?,?
https://bitcasino.io/,Bitcasino,X,10,Curacao eGaming,https://bitcasino.io/blog,X,X,5 400 000,X,?,X,?,?,?,?
https://bitdice.me/,BitDice,"EN, FR, DE, PT, ES",5,Gaming Curacao,?,?,X,545 200,X,X,X,?,?,?,100
https://bitstarz.com/,BitStarz,"ZH, JA, EN, RU, PT",5,Antillephone N.V.,https://bitstarz.com/blog/,?,X,669 292,X,?,X,?,2500 $,180,125
https://bizzocasino.com/,Bizzo Casino,X,11,Kahnawake Gaming Commission,?,?,X,847 100,X,X,X,?,100 €,?,100
https://bodog.eu/,Bodog,EN,1,Antigua and Barbuda Financial Services Regulatory Commission,https://forum.bodog.eu/,X,X,1 726 000,X,X,X,X,400 $,?,?
https://bonusboss.co.uk/,Bonus Boss,EN,1,UK Gambling Commission,?,?,?,572 100,X,?,?,?,5 £,?,?
https://bookmaker.eu/,BookMaker,EN,1,?,?,?,X,1 409 000,X,?,X,X,?,?,100
https://bovada.lv/,Bovada,"EN, ES",2,Curacao eGaming,https://bovada.lv/articles,X,X,36 700 000,X,?,X,X,250 $,?,?
https://brazino777.com/,Brazino 777,"EN, PT, ES",3,Antillephone N.V.,?,X,X,775 450,X,X,X,X,?,120,225
https://buzzbingo.com/,Buzz Bingo,EN,1,UK Gambling Commission,?,?,?,1 120 000,X,X,X,?,?,?,?
https://bwin.com/,Bwin,X,19,Malta Gaming Authority,https://sports.bwin.com/en/news/,X,?,1 500 000,X,X,X,X,?,?,?
https://cafecasino.lv/,Cafe Casino,EN,1,?,https://cafecasino.lv/articles,?,X,503 505,X,?,X,?,?,?,?
https://caliente.mx/,Caliente,ES,1,Mexican Ministry of the Interior,http://news.caliente.mx/,X,?,150 000 000,X,?,X,X,400 $,?,?
https://casapariurilor.ro/,Casa Pariurilor,RO,1,Romanian National Gambling Office,https://casapariurilor.ro/pariuri-online/forum,X,?,876 974,X,X,X,X,?,?,?
https://cashmo.co.uk/,Cashmo,EN,1,UK Gambling Commission,?,?,?,1 223 000,X,?,?,?,30 £,?,?
https://casino.com/,Casino.com,"UK, IT",2,Malta Gaming Authority,?,?,?,363 856,X,?,X,?,500 €,?,100
https://casino.giocodigitale.it/,Gioco Digitale,IT,1,ADM Italy,https://casino.giocodigitale.it/it/blog/,?,?,460 523,X,X,X,X,?,350,100
https://casino.netbet.com/,NetBet Casino,EN,1,Malta Gaming Authority,?,X,?,945 480,X,?,X,X,200 €,10,?
https://casino2020.co.uk/,Casino 2020,EN,1,UK Gambling Commission,?,?,?,1 236 000,X,?,?,?,?,?,?
https://casino770.com/,Casino770,"EN, FR",2,Antillephone N.V.,?,?,?,571 386,X,?,?,?,?,?,?
https://casino777.be/,Casino777,"EN, DE, FR, NL",4,Belgian Gaming Commission,https://blog.casino777.be/en/,X,?,404 570,X,X,X,X,?,?,?
https://casinobrango.com/,Brango Casino,EN,1,Curacao eGaming,https://casinobrango.com/blog/,?,X,973 110,X,X,?,?,2000 $,30,1583
https://casinodays.com/,Casino Days,X,6,Antillephone N.V.,?,?,X,906 200,X,X,X,?,500 €,100,100
https://casinoextreme.eu/,Casino Extreme,EN,1,Curacao eGaming,https://casinoextreme.eu/blog/,?,X,482 930,X,?,?,?,?,50,1000
https://casinofriday.com/,CasinoFriday,X,5,"Kahnawake Gaming Commission, Estonian Tax and Customs Board, Gaming Curacao",?,?,X,1 200 000,X,X,X,X,500 €,200,100
https://casinojefe.com/,CasinoJEFE,X,8,Malta Gaming Authority,?,?,?,1 060 000,X,?,X,?,275 $,11,?
https://casinosecret.com/,CasinoSecret,JA,1,Curacao eGaming,?,?,?,2 000 000,X,X,X,X,500 $,?,?
https://casinotropez.com/,Casino tropez,X,6,Malta Gaming Authority,?,?,X,316 480,X,?,X,?,3000 €,?,100
https://casumo.com/,Casumo,X,8,"Malta Gaming Authority, Swedish Gambling Authority,  UK Gambling Commission, Directorate General for the Regulation of Gambling",https://casumo.com/en/blog/,X,?,1 294 000,X,X,X,?,300 €,20,100
https://cbet.gg/,Cbet,X,6,Gaming Curacao,?,X,X,1 178 000,X,X,X,X,500 €,?,100
https://chance.cz/,Chance,CS,1,Ministry of Finance of the Czech Republic,https://chance.cz/blogy/,X,?,1 428 000,?,?,?,X,?,?,?
https://cherrycasino.com/,Cherry Casino,JA,1,Malta Gaming Authority,https://promotions.cherrycasino.com/ja/official-blog/,?,?,615 727,X,X,X,X,1000 $,100,?
https://chumbacasino.com/,Chumba Casino,EN,1,Malta Gaming Authority,?,?,?,5 778 000,X,?,?,?,?,?,?
https://circus.be/,Circus,"EN, FR",2,Belgian Gaming Commission,?,X,?,1 310 000,X,X,X,X,?,?,?
https://cloudbet.com/,Cloudbet,X,12,Curacao eGaming,https://cloudbet.com/en/blog,?,X,843 300,X,X,X,X,?,?,100
https://codere.es/,Codere,ES,1,Directorate General for the Regulation of Gambling,?,X,?,1 500 000,X,?,X,X,?,?,?
https://comeon.com/,ComeOn,EN,1,Malta Gaming Authority,?,?,?,1 350 000,X,?,X,X,25 €,?,100
https://coolbet.com/,Coolbet,X,7,Malta Gaming Authority,https://coolbet.com/en/blog,X,?,4 376 000,X,?,X,X,?,?,?
https://cresuscasino.com/,Cresus Casino,"FR, EN",2,Curacao eGaming,?,?,?,555 736,X,?,X,?,300 €,?,150
https://crocobet.com/,Crocobet,"KA, EN, RU",3,Ministry of Finance of Georgia,?,?,?,1 120 000,X,X,X,X,?,?,?
https://crystalbet.com/,Crystalbet,"KA, RU, EN",3,Ministry of Finance of Georgia,?,?,?,4 200 000,X,X,X,X,?,1000,?
https://dafabet.com/,Dafabet,X,12,Curacao (without details),?,X,X,6 000 000,X,X,X,X,?,?,?
https://danskespil.dk/,Danske Spil,DA,1,Danish Gambling Authority,?,X,?,5 876 000,X,X,X,X,50 kr,?,?
https://dollycasino.com/,Dolly Casino,X,11,Antillephone N.V.,?,?,?,607 500,X,X,X,?,?,100,100
https://domusbet.it/,DomusBet,IT,1,ADM Italy,?,X,X,1 308 000,X,X,X,X,500 €,50,?
https://doradobet.com/,DoradoBet,"EN, ES, PT",3,Gaming Curacao,https://blog.doradobet.com/,?,?,7 638 000,X,X,X,X,?,?,?
https://doubleucasino.com/,DoubleU Casino,EN,1,?,?,X,?,530 181,X,?,?,?,?,?,?
https://doxxbet.sk/,DOXXbet,SK,1,Office of Gambling Regulation of Slovakia,?,X,?,303 527,X,?,X,X,7000 €,100,?
https://drslot.co.uk/,Dr Slot,EN,1,UK Gambling Commission,https://drslot.co.uk/news/,X,?,545 739,X,?,?,?,1005 €,?,?
https://e-stave.com/,e-stave,SL,1,Financial Administration of the Republic of Slovenia,?,X,?,450 156,?,X,?,X, 10  €,?,50
https://endorphina.com/,Endorphina,EN,1,"Malta Gaming Authority, Romanian National Gambling Office",?,?,?,352 604,X,?,?,?,?,?,?
https://energycasino.com/,Energy Casino,X,11,"UK Gambling Commission, Malta Gaming Authority",?,X,?,1 345 000,X,X,X,X,200 €,?,100
https://estorilsolcasinos.pt/,ESC Online,"EN, PT",2,SRIJ,?,X,?,1 002 000,X,?,?,X,?,?,?
https://etipos.sk/,eTIPOS,SK,1,Office of Gambling Regulation of Slovakia,https://blog.etipos.sk/,X,?,835 057,X,X,?,X,2050 €,280,?
https://eurobet.it/,Eurobet,IT,1,ADM Italy,?,X,?,3 490 000,X,X,X,X,?,?,?
https://europacasino.com/,Europa Casino,X,9,Malta Gaming Authority,?,?,?,1 700 000,X,?,X,?,2400 €,?,?
https://europebet.com/,Europebet,"EN, RU, TR, KA",4,Ministry of Finance of Georgia,?,?,?,920 260,X,X,X,X,?,500,?
https://everygame.eu/,Everygame,"EN, DE",2,?,https://casino.everygame.eu/blog,?,?,724 330,X,X,?,X,?,?,525
https://favbet.com/,Favbet,"UK, EN, RU",3,Antillephone N.V.,?,X,?,1 991 000,X,X,X,X,4500 €,?,?
https://fdj.fr/,FDJ,FR,1,The National Gambling Authority (ANJ),?,X,?,22 600 000,?,X,?,X,?,?,?
https://fezbet.com/,FezBet,X,12,Antillephone N.V.,?,?,X,303 173,X,?,X,X,100 €,?,?
https://fortebet.ug/,ForteBet,EN,1,National Gaming Board of Uganda,?,?,?,1 140 000,X,?,?,X,?,?,?
https://fortunejack.com/,FortuneJack,EN,1,Antillephone N.V.,?,X,X,373 900,X,X,X,X,6 BTC,?,?
https://forzza.com/,Forzza,X,8,?,?,?,?,782 950,X,X,X,X,?,?,?
https://foxygames.com/,Foxy Games,EN,1,UK Gambling Commission,?,X,?,1 231 000,X,?,X,?,?,?,?
https://freebitco.in/,Freebitcoin,EN,1,?,https://freebitco.in/site/blogs/,?,X,63 150 000,X,X,?,X,?,?,?
https://galabingo.com/,Gala Bingo,EN,1,UK Gambling Commission,?,X,?,1 710 000,X,X,?,?,50 £,40,?
https://galacasino.com,Gala Casino,EN,1,Gibraltar Gambling Commissioner,?,X,?,430 161,X,X,X,?,40 £,50,?
https://galaspins.com/,Gala Spins,EN,1,Gibraltar Gambling Commissioner,?,X,?,459 095,X,X,X,?,20 €,30,?
https://galottery.com/,Georgia Lottery,EN,1,US (without details),?,X,?,9 416 000,?,X,?,?,?,?,50
https://games.bitcoin.com/,Bitcoin Games,"EN, ES, RU, PT",4,?,?,?,X,446 123,X,?,X,?,?,?,25
https://gametwist.com/,GameTwist,X,11,?,?,X,?,9 402 000,X,X,?,?,?,15,?
https://gamingclub.com/,GamingClub Casino,X,13,Malta Gaming Authority,?,X,?,565 900,X,?,X,?,350 €,?,?
https://gbets.co.za/,Gbets,EN,1,Western Cape Gambling Board,https://gbets.co.za/blog/,?,?,728 760,?,X,X,X,?,?,?
https://genybet.fr/,Genybet,FR,1,The National Gambling Authority (ANJ),?,X,?,364 701,?,X,?,X,250 €,?,?
https://germaniasport.hr/,Germania Sport,"EN, HR",2,Ministry of Finance of the Republic of Croatia,?,X,?,3 402 000,X,X,X,X,?,?,?
https://getsbet.ro/,Gets bet,RO,1,Romanian National Gambling Office,?,X,?,311 370,X,X,X,X,2000 lei,450,100
https://gg.bet/,GG.BET,X,12,Curacao eGaming,https://gg.bet/ru/news,X,?,1 280 000,X,X,X,X,1000 €,175,?
https://giochi24.it/,Giochi24,IT,1,ADM Italy,?,?,?,1 583 000,X,X,X,X,?,?,?
https://goldbet.it/,Goldbet,IT,1,ADM Italy,?,X,?,4 900 000,X,X,X,X,200 €,?,?
https://goldencrowncasino.com/,Golden Crown Casino,"FR, EN",2,Antillephone N.V.,https://goldencrowncasino.com/en/blog/,X,X,300 994,X,?,X,?,10000 $,50,100
https://goldenstar-casino.com/,Golden Star Casino,X,26,Antillephone N.V.,?,?,X,349 100,X,X,X,X,300 $,?,100
https://goxbet4.com/,Goxbet,"RU, EN",2,?,?,?,X,2 571 000,X,?,?,X,?,50,200
https://grandcasino.by/,GrandCasino,"RU, EN",2,Ministry of Taxes and Dues of the Republic of Belarus,?,?,?,906 500,X,X,X,X,?,100,?